=== TABLES ===
tb_callee	ce_call_status	 상담사 통화상태 : 0=부재중, 1=통화가능 	tinyint unsigned	NO	0		
tb_callee	ce_suggest_level	 상담사 추천레벨 : A,B,C,D,E 	char(2)	NO	B		
tb_callee	ce_060_status	 상담사 060 등록상태 : 0=미등록, 1=등록 	tinyint unsigned	NO	1		
tb_callee	ce_060_passntact_number	파트너계약 계약서 전화번호	varchar(100)	YES	NULL		
tb_callee	ce_contact_email	파트너계약 계약서 이메일	varchar(512)	YES	NULL		
tb_callee	ce_contact_status	파트너계약 전속여부 상태: 미계약(0),검토중(1),계약서전달(2),계약완료(3),보류(4),파트너신청거절(5)	tinyint	YES	0		
tb_callee	ce_contact_status_reason	파트너계약 전속여부 보류 이유	text	YES	NULL		
tb_callee	ce_contact_last_date	파트너계약 최근 상태 수정일	datetime	YES	NULL		
tb_callee	ce_grade_start_month	최초 1단계로 승급한 달	varchar(8)	YES	NULL		
tb_callee	ce_grade_start_date	최초 1단계 승급을 처리(cron)한 처리일자	datetime	YES	NULL		
tb_callee	ce_grade_last_month	가변데이터,마지막(최근)으로  승급 또는 강등한 월 yyyy-mm	varchar(8)	YES	NULL		
tb_callee	ce_grade_log	승급,강등 전체 이력 1단계부터 {yyyy-mm , 승급 or 강등 타입, 전단계, 후단계, 처리일}	json	YES	NULL		
tb_callee	ce_10hour_over_sms	0단계 상담사가 월에 10시간 달성시 SMS 전송여부 Y:달성되어 보냈다. N:미발송	enum('Y','N')	YES	N		
tb_callee	ce_10hour_over_date	0단계 상담사에게 10시간 달성 sms 보낸일자	datetime	YES	NULL		
tb_callee	ce_old_level	타사이동전환시 현재의 단계	int	YES	0		
tb_callee	ce_voice_url	상담사 음성파일 이름	varchar(255)	YES	NULL		
tb_callee	ce_voice_file	상담사 음성파일 이름	varchar(100)	YES	NULL		
tb_callee	ce_img	상담사 프로필이미지	varchar(255)	YES	NULL		
tb_callee	ce_welcome_msg	상담사 프로필 한줄 인사말	varchar(255)	YES	NULL		
tb_callee	ce_introduce	상담사 소개	varchar(800)	YES	NULL		
tb_callee	ce_career	상담사 경력사항	varchar(255)	YES	NULL		
tb_callee	ce_license	상담사 자격증	varchar(255)	YES	NULL		
tb_callee	ce_item_call	상담사 아이템 - 전화상담 유무	enum('Y','N')	YES	Y		
tb_callee	ce_item_chat	상담사 아이템 - 채팅상담 유무	enum('Y','N')	YES	N		
tb_callee	ce_item_goods	상담사 아이템 - 상품판매 유무	enum('Y','N')	YES	N		
tb_callee	ce_item_class	상담사 아이템 - 클래스 상품판매 유무	enum('Y','N')	YES	N		
tb_callee	ce_category_naming	상담사 아이템 작명유무	varchar(255)	YES	NULL		
tb_callee	ce_attch_img	상담사 프로필 소개이미지	varchar(255)	YES	NULL		
tb_callee	ce_attch_file	 상담사 자격증등 첨부파일 json {'파일경로','파일명'}	varchar(255)	YES	NULL		
tb_callee	ce_re_regist_date	상담사 재등록일	date	YES	NULL		
tb_callee	ce_add_info	상담사 추가사항	varchar(100)	YES	NULL		
tb_callee	ac_id	계정아이디	varchar(256)	YES	NULL		
tb_callee	it_nick	상담 닉네임(전화,채팅등 상담시 사용할 닉네임)	varchar(150)	YES	NULL		
tb_callee	it_nick_kana	상담 닉네임 - 히라가나 또는 카타카나	varchar(150)	YES	NULL		
tb_callee	it_nick_icon	아이템 닉네임 아이콘	varchar(256)	YES	NULL		
tb_callee	goodschat_fcm_use	신규 상품 문의 채팅방 개설시 푸시 수신여부	enum('Y','N')	YES	Y		
tb_callee	qna_fcm_use	tb_callee_qna 고객의 상담문의 등록 푸시 받을건지 안받을건지	enum('Y','N')	YES	Y		
tb_callee	it_060_code	아이템 060 연결번호	varchar(4)	YES	0		
tb_callee	it_connect_number	아이템 연결번호 : 해당 아이템의 연결전화번호, 상담사 연결전화번호와 같은 번호를 넣을 수 있음.	varchar(25)	YES	NULL		
tb_callee	it_main_pic	아이템 대표사진 : 아이템 이미지 테이블에서 추출된 코드값을 입력한다.	varchar(512)	YES	NULL		
tb_callee	it_main_pic2	대표 이미지 추가 업로드	varchar(512)	YES	NULL		
tb_callee	it_sns_pic	SNS이미지	varchar(512)	YES	NULL		
tb_callee	it_subject	아이템제목	varchar(512)	YES	NULL		
tb_callee	it_desc	아이템상세내용	longtext	YES	NULL		
tb_callee	it_tag	아이템TAG	text	YES	NULL		
tb_callee	it_coin_price	아이템 선불가격	int	YES	NULL		
tb_callee	it_060_price	아이템 후불가격	int	YES	NULL		
tb_callee	it_status	아이템 상태 : 0=승인대기,1=승인보류,2=승인불가,3=승인완료,4=이용중지,5=본인삭제,6=강제삭제	tinyint	YES	0		
tb_callee	it_meta_keyword	아이템 메타 키워드	varchar(1000)	YES	NULL		
tb_callee	it_meta_desc	아이템 메타 description	varchar(1000)	YES	NULL		
tb_callee	it_meta_author	아이템 메타 description	varchar(1000)	YES	hongcafe.com		
tb_callee	it_sns_title	SNS제목	varchar(255)	YES	NULL		
tb_callee	it_sns_desc	SNS내용	varchar(1000)	YES	NULL		
tb_callee	it_category_code	아이템카테고리코드	varchar(25)	YES	NULL		
tb_callee	it_category_name	아이템카테고리명	varchar(50)	YES	NULL		
tb_callee	it_voice	아이템 목소리 타입	varchar(50)	YES	NULL		
tb_callee	it_style	아이템스타일	text	YES	NULL		
tb_callee	it_country_code	국가코드	varchar(4)	YES	NULL		
tb_callee	it_counsel_field	상담분야 태그 카운팅	text	YES	NULL		
tb_callee	it_counsel_field_search	검색용 상담분야 태그 카운팅 제일높은 2 or 3개	varchar(150)	YES	NULL		
tb_callee	is_test	테스트 아이템 여부	tinyint	YES	0		
tb_callee	it_content_field	상담사 컨텐츠 (서비스소개)	text	YES	NULL		
tb_callee	it_voice_url	아이템 음성파일 주소	varchar(255)	YES	NULL		
tb_callee	it_voice_file	아이템 음성파일 정보	varchar(100)	YES	NULL		
tb_callee	he_code	상담사코드(에르메스통합용)	varchar(25)	YES	NULL		
tb_callee	ce_item_shop	상담사 아이템 - O2O 대면상품판매 여부	enum('Y','N')	YES	N		
tb_callee	shop_call_use	대면상담 전화문의 수신 여부	enum('Y','N')	YES	N		
tb_callee	outbound_type	상담사 통화수신연결 방법 (APP:앱통화,CALL:별정통신통화)	enum('APP','CALL')	YES	CALL		
tb_callee	ce_item_video	상담사 아이템 - 화상상담 유무	enum('Y','N')	YES	N		
tb_callee	it_sub_pic	아이템 서브사진	text	YES	NULL		
tb_callee	cp_code	CP코드	varchar(10)	YES	PVJ		
tb_callee	ce_birth_year	상담사 생년월일 - 년	varchar(4)	YES	NULL		
tb_callee	ce_birth_month	상담사 생년월일 - 월	varchar(2)	YES	NULL		
tb_callee	ce_birth_day	상담사 생년월일 - 일	varchar(2)	YES	NULL		
tb_callee	ce_account_type	계좌 - 보통, 당좌	varchar(10)	YES	NULL		
tb_callee	ce_nick_kana	상담사 닉네임 - 히라가나 또는 카타카나	varchar(150)	YES	NULL		
tb_callee	ce_bank_branch	은행 지점명	varchar(100)	YES	NULL		
tb_callee	ce_bank_branch_code	은행 지점 코드	varchar(100)	YES	NULL		
tb_callee	ce_lang_ko	상담언어 한국어	enum('Y','N')	YES	N		
tb_callee	ce_lang_jp	상담언어 일본어	enum('Y','N')	YES	N		
tb_callee	ce_goods_greeting	채팅문의인사말	text	YES	NULL		
tb_callee	pvk_it_nick	한국상담사 닉네임	varchar(30)	YES	NULL		
tb_callee	clear_id	해제자	varchar(25)	YES	NULL		
tb_callee	clear_date	해제일	timestamp	YES	NULL		
tb_callee	ce_counsel_time_use	주 상담시간 사용 여부	enum('Y','N')	NO	N		
tb_callee	ce_counsel_time	주 상담시간 1	varchar(10)	YES	NULL		
tb_callee	ce_counsel_time2	주 상담시간 2	varchar(10)	YES	NULL		
tb_callee_grade	g_id	 승급강등 코드 	varchar(30)	NO	NULL	PRI	
tb_callee_grade	ymd	승급강등 월	date	YES	NULL	MUL	
tb_callee_grade	ce_code	상담사 코드	varchar(25)	YES	NULL	MUL	
tb_callee_grade	old_ce_level	현단계	int	YES	0		
tb_callee_grade	ce_level	변경할 단계	int unsigned	YES	0		
tb_callee_grade	grade_type	승급 또는 강등 승급 : 1 , 강등 : 2	tinyint	YES	0		
tb_callee_grade	grade_status	처리여부 1:처리 2:보류 , 3:처리완료	tinyint	YES	0		
tb_callee_grade	regist_date	등록일,cron처리일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_callee_grade	grade_status_reason	승급,강등 보류 사유	text	YES	NULL		
tb_callee_grade	sendSMS	SMS 발송대상자 여부 Y: SMS발송대상 N:미발송자	varchar(4)	YES	N		
tb_callee_grade	sendDate	5일치 SMS 발송날짜 이력서	json	YES	NULL		
tb_callee_grade	changePriceDate	강제가격변경 처리 완료일	datetime	YES	NULL		
tb_callee_introduction_point	cip_no	상담사 소개 포인트 시퀀스 넘버	int unsigned	NO	NULL	PRI	auto_increment
tb_callee_introduction_point	cip_code	상담사 소개 포인트 코드	varchar(50)	NO	NULL	PRI	
tb_callee_introduction_point	ce_code	상담사 코드	varchar(25)	YES	NULL		
tb_callee_introduction_point	cr_code	회원 코드	varchar(25)	YES	NULL		
tb_callee_introduction_point	ac_nick	회원 닉네임	varchar(25)	YES	NULL		
tb_callee_introduction_point	od_code	결제 코드	varchar(30)	YES	NULL		
tb_callee_introduction_point	cip_charge_sign	지급 포인트 -/+ 구분	int	YES	NULL		
tb_callee_introduction_point	cip_charge_point	지급 포인트(절댓값)	int unsigned	YES	NULL		
tb_callee_introduction_point	cip_remain_point	잔여 포인트	int	YES	NULL		
tb_callee_introduction_point	cip_type	지급 상태 (지급 전(노출X) = 'ready' | 포인트 지급 = 'charge' | 환불 회수 = 'refund' | 상품권 신청 = 'giftcard' | 기타 = 'etc')	enum('ready','charge','refund','giftcard','etc')	YES	etc		
tb_callee_introduction_point	cip_msg	지급 내역	varchar(512)	YES	NULL		
tb_callee_introduction_point	cip_gc_amount	상품권 금액	int unsigned	YES	NULL		
tb_callee_introduction_point	cip_gc_ce_email	상담사 상품권 발송 이메일 정보	varchar(512)	YES	NULL		
tb_callee_introduction_point	cip_gc_ce_phone	상담사 상품권 발송 SMS 휴대폰 번호	varchar(25)	YES	NULL		
tb_callee_introduction_point	cip_gc_send_method	상품권 발송수단 (이메일 = 'email' | SMS = 'sms')	varchar(50)	YES	NULL		
tb_callee_introduction_point	cip_gc_send_status	상품권 발송상태 (신청 = 'request' | 발송대기 = 'ready' | 발송완료 = 'complete')	enum('request','ready','complete')	YES	NULL		
tb_callee_introduction_point	cip_gc_send_ready_date	상품권 발송대기일	datetime	YES	NULL		
tb_callee_introduction_point	cip_gc_send_date	상품권 발송일	datetime	YES	NULL		
tb_callee_introduction_point	cip_gc_memo	상품권 발송 내역 메모	text	YES	NULL		
tb_callee_introduction_point	regist_date	생성일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_callee_introduction_point	last_update_date	마지막 수정일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_callee_introduction_point	last_update_admin	마지막 수정자	varchar(40)	YES	NULL		
tb_callee_level	ce_level	상담사등급	int	NO	NULL	PRI	
tb_callee_level	ce_level_name	상담사등급이름	varchar(10)	YES	NULL		
tb_callee_level	ce_level_type	상담사등급구분	enum('화이트','그린','퍼플','타사이용')	YES	NULL		
tb_callee_level	ce_level_stand	승급조건(상담시간:0단계상담사만 적용중)	int	YES	NULL		
tb_callee_level	ce_level_standMoney	승급조건(정산금액:수익금기준)	int	YES	NULL		
tb_callee_level	ce_level_min_coin	코인가격범위(하한)	int	YES	NULL		
tb_callee_level	ce_level_max_coin	코인가격범위(상한)	int	YES	NULL		
tb_callee_level	ce_level_060_add_coin	060추가금액(코인설정금액 + 추가금액)설정	int	YES	NULL		
tb_callee_level	ce_level_ratio	등급수수료율(상담사기준)	decimal(3,2)	YES	NULL		
tb_callee_level	ce_level_promoMonth	승급조건(유지개월수)	int	YES	NULL		
tb_callee_level	ce_level_demoMonth	강등조건(유지개월수)	int	YES	NULL		
tb_callee_level	ce_level_color	상담사등급컬러	varchar(15)	YES	NULL		
tb_callee_level	ce_level_group_color	레벨공통컬러	enum('#00af79','#6335b4')	YES	#6335b4		
tb_callee_level	regist_date	생성일	datetime	YES	NULL		
tb_callee_level	regist_by	생성자	varchar(50)	YES	NULL		
tb_callee_level	ce_level_group_code	퍼플/그린 구분 코드	enum('green','purple')	YES	NULL	MUL	
tb_callee_like	cl_no		int unsigned	NO	NULL	PRI	auto_increment
tb_callee_like	cr_code		varchar(25)	YES	NULL		
tb_callee_like	ce_code		varchar(25)	YES	NULL		
tb_callee_like	regist_date		timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP
tb_callee_memo	me_no		int unsigned	NO	NULL	PRI	auto_increment
tb_callee_memo	ce_code		varchar(50)	YES	NULL		
tb_callee_memo	cr_code		varchar(50)	YES	NULL		
tb_callee_memo	me_contents		mediumtext	YES	NULL		
tb_callee_memo	regist_date		timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP
tb_callee_memo	last_update_date		timestamp	YES	NULL		
tb_callee_qna	qa_no	\t문의 아이디\t	int unsigned	NO	NULL	PRI	auto_increment
tb_callee_qna	st_code	\t사이트 코드\t	varchar(25)	YES	NULL	MUL	
tb_callee_qna	ac_id	\t계정 아이디\t	varchar(256)	YES	NULL	MUL	
tb_callee_qna	ac_nick	계정 닉네임	varchar(25)	YES	NULL		
tb_callee_qna	cr_code	회원코드	varchar(25)	YES	NULL		
tb_callee_qna	ce_code	상담사 코드	varchar(25)	YES	NULL	MUL	
tb_callee_qna	item_code	아이템 코드	varchar(25)	YES	NULL	MUL	
tb_callee_qna	qa_content	\t문의 내용\t	text	YES	NULL		
tb_callee_qna	qa_reply	\t문의 답변\t	text	YES	NULL		
tb_callee_qna	qa_status	\t문의상태 : 답변대기=standby, 답변완료=closed\t	varchar(10)	NO	standby	MUL	
tb_callee_qna	qa_secret	\t\t	enum('Y','N')	NO	N		
tb_callee_qna	regist_date	\t등록일\t	timestamp	NO	CURRENT_TIMESTAMP	MUL	DEFAULT_GENERATED
tb_callee_qna	reply_date	\t답변일\t	timestamp	YES	NULL		
tb_callee_qna	qa_view	\t문의사항 노출 1=노출 0=삭제\t	tinyint	NO	1	MUL	
tb_callee_qna	item_flag	문의구분(call:전화상담, chat:채팅상담, goods:판매상품, video:화상상담)	enum('call','chat','goods','video')	YES	call		
tb_callee_status	cer_no	 상담사 부재중 번호 	int unsigned	NO	NULL	PRI	auto_increment
tb_callee_status	ce_code	 상담사 코드 	varchar(25)	YES	NULL	MUL	
tb_callee_status	item_code	 아이템 코드 	varchar(25)	YES	NULL	MUL	
tb_callee_status	ce_pre_status	 상담사 이전상태 : 0=부재중, 1=통화가능 	tinyint unsigned	YES	NULL		
tb_callee_status	ce_call_status	 상담사 통화상태 : 0=부재중, 1=통화가능 	tinyint unsigned	YES	NULL		
tb_callee_status	regist_id	 등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system 	varchar(25)	YES	NULL		
tb_callee_status	regist_type	 등록자 타입 : caller,callee,admin,system,060 	varchar(20)	YES	NULL		
tb_callee_status	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP	MUL	DEFAULT_GENERATED
tb_callee_status	on_duration	 통화대기시간(초) 	bigint unsigned	NO	0		
tb_callee_status	it_flag	 상담방법 구분	enum('call','chat')	YES	call		
tb_callee_status	off_duration	부재중시간(초)	bigint unsigned	NO	0		
tb_callee_status	item_flag	아이템구분	varchar(20)	YES	call		
tb_callee_t_app	app_no	pk	int unsigned	NO	NULL	PRI	auto_increment
tb_callee_t_app	cr_code	계정코드	varchar(25)	NO	NULL	MUL	
tb_callee_t_app	ce_code	상담사 코드	varchar(25)	NO	NULL	MUL	
tb_callee_t_app	he_code	에르메스 고유코드	varchar(25)	NO	NULL	MUL	
tb_callee_t_app	ad_code	전화연결 코드	varchar(25)	NO	NULL	MUL	
tb_callee_t_app	app_lang	사용언어	varchar(10)	NO	ko		
tb_callee_t_app	app_time_zone	앱 타임존	varchar(20)	YES	NULL		
tb_callee_t_app	app_fcm_token	푸시 토큰	varchar(1024)	NO	NULL		
tb_callee_t_app	app_fcm_token_update		timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_callee_t_app	app_voip_token	ios 전화 연결용 voip 토큰	varchar(1024)	YES	NULL		
tb_callee_t_app	app_voip_token_update		timestamp	YES	NULL		
tb_callee_t_app	app_voip_mode	ios voip 서버 발신용 모드	enum('production','development')	NO	production		
tb_callee_t_app	app_device_type	디바이스 타입 android, ios	varchar(15)	NO	NULL		
tb_callee_t_app	app_device_code	단일단말기 처리 & jwt refresh token	varchar(100)	NO	NULL		
tb_callee_t_app	app_device_id	디바이스 고유키	varchar(256)	NO	NULL		
tb_callee_t_app	app_device_id_update		timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_callee_t_app	app_version	앱버전	varchar(20)	NO	NULL		
tb_callee_t_app	app_version_update		timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_callee_t_app	app_login_date	로그인 날짜 (마지막)	timestamp	YES	NULL		
tb_callee_t_app	app_access_date	앱실항한 재실행 날짜	timestamp	YES	NULL		
tb_callee_t_app	app_logout_date	로그아웃 날짜 (마지막)	timestamp	YES	NULL		
tb_callee_t_app	app_regist_date		timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_callee_t_app	app_type		enum('production','development')	NO	production		
tb_callee_t_app	app_use	앱 사용 유무	enum('y','n')	NO	y		
tb_callee_t_app	pbx_pwd	가이아와 연결을 위한 비밀번호	varchar(30)	NO	NULL		
tb_card_noti	od_no	노티 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_card_noti	od_code	 결제코드 	varchar(25)	NO	NULL	MUL	
tb_card_noti	st_code	 사이트 코드 	varchar(25)	NO	NULL		
tb_card_noti	ac_id	 계정 아이디 	varchar(256)	YES	NULL		
tb_card_noti	od_pay_method	 결제방법 	varchar(20)	YES	NULL		
tb_card_noti	od_tid	 PG사 TID : PG사의 트랜젝션 아이디 	varchar(125)	YES	NULL		
tb_card_noti	od_pay_msg	 결제 결과 메시지 	varchar(1000)	YES	NULL		
tb_card_noti	od_income	 입금금액 	int unsigned	NO	0		
tb_cast	cas_code	섭외 상담사 코드	varchar(25)	NO	NULL	PRI	
tb_cast	ce_code	상담사 코드	varchar(25)	YES	NULL		
tb_cast	cas_path	등록경로 : search=>조사,suggest=>추천,site=사이트	varchar(25)	YES	search		
tb_cast	cas_email	섭외 상담사 이메일	varchar(256)	YES	NULL		
tb_cast	ce_name	상담사 이름	varchar(125)	YES	NULL		
tb_cast	ce_name_kana	상담사 이름 - 히라가나 또는 카타카나	varchar(100)	YES	NULL		
tb_cast	ce_nick	상담사 닉네임	varchar(125)	YES	NULL		
tb_cast	ce_nick_kana	상담사 닉네임 - 히라가나 또는 카타카나	varchar(100)	YES	NULL		
tb_cast	ce_gender	상담사 성별	enum('male','female','secret','etc','남','여','기타')	YES	NULL		
tb_cast	ce_birth_year	상담사 생년	int unsigned	YES	NULL		
tb_cast	ce_birth_month	상담사 생년월일 - 월	varchar(2)	YES	NULL		
tb_cast	ce_birth_day	상담사 생년월일 - 일	varchar(2)	YES	NULL	t	itca_name		varchar(50)	YES	NULL		
tb_cast	cas_category	상담사 카테고리 (자유입력)	varchar(1000)	YES	NULL		
tb_cast	cas_manager		varchar(40)	YES	0		
tb_cast	ce_gubun_call	전화상담여부(Y,N)	enum('Y','N')	NO	N		
tb_cast	ce_gubun_video	화상상담 여부 (Y, N)	enum('Y','N')	NO	N		
tb_cast	ce_gubun_chat	채팅상담 여부 (Y, N)	enum('Y','N')	NO	N		
tb_cast	ce_gubun_goods	상품 여부 (Y, N)	enum('Y','N')	NO	N		
tb_cast	ce_gubun_new	신청 아이템 정보(기존 필드 ce_gubun_call,ce_gubun_chat,ce_gubun_goods 를 통합)	varchar(10)	YES	NULL		
tb_cast	ce_gubun_class	클래스상품 여부(Y,N)	enum('Y','N')	YES	N		
tb_cast	ce_gubun_service_goods	서비스상품여부 (Y,N)	enum('Y','N')	YES	N		
tb_cast	ce_gubun_made_goods	제작상품여부 (Y,N)	enum('Y','N')	YES	N		
tb_cast	ce_gubun_shop	대면상품 사용여부	enum('Y','N')	YES	N		
tb_cast	ce_tel	상담사 일반전화번호	varchar(60)	YES	NULL		
tb_cast	ce_tel_country	상담사 일반전화번호 - 국가	varchar(10)	YES	NULL		
tb_cast	cas_category_etc	상담사 카테고리(기타)	varchar(256)	YES	NULL		
tb_cast	cas_counsel	상담사 운세내용	varchar(256)	YES	NULL		
tb_cast	cas_counsel_etc	상담사 운세내용(기타)	varchar(256)	YES	NULL		
tb_chat_entrance	tce_no		int	NO	NULL	PRI	auto_increment
tb_chat_entrance	ch_code		varchar(25)	YES	NULL		
tb_chat_entrance	ce_code		varchar(25)	YES	NULL		
tb_chat_entrance	tce_regist_date		timestamp	YES	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_chat_item_price_history	itph_no	가격 등록 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_chat_item_price_history	ch_code	채팅아이템 코드	varchar(25)	NO	NULL		
tb_chat_item_price_history	ce_code	상담사 코드	varchar(25)	NO	NULL		
tb_chat_item_price_history	st_code	사이트 코드	varchar(25)	NO	NULL	MUL	
tb_chat_item_price_history	itp_code	아이템 가격 코드 : func_get_item_price 로 추출	varchar(25)	YES	NULL		
tb_chat_item_price_history	itp_coin_price	아이템 선불 가격	int unsigned	YES	NULL		
tb_chat_item_price_history	itp_060_price	아이템 후불 가격	int unsigned	YES	NULL		
tb_chat_item_price_history	itp_term	아이템 가격단위 : 가격의 기준이 되는 초를 입력한다 예 : 30 = 30초당	int unsigned	YES	NULL		
tb_chat_item_price_history	it_coin_ftype	아이템 코인통화 정산타입	enum('fee','ratio')	NO	fee		
tb_chat_item_price_history	it_060_ftype	아이템 060통화 정산타입	enum('fee','ratio')	NO	fee		
tb_chat_item_price_history	it_coin_ratio	아이템 코인통화 수수료율	int	NO	0		
tb_chat_item_price_history	it_coin_fee	아이템 코인통화 월수수료	int	NO	0		
tb_chat_item_price_history	it_060_ratio	아이템 060통화 수수료율	int	NO	0		
tb_chat_item_price_history	it_060_fee	아이템 060통화 월수수료	int	NO	0		
tb_chat_item_price_history	is_used	현재 적용 여부	enum('y','n')	NO	y		
tb_chat_item_price_history	finance_month	적용시작일 YYYY-MM	varchar(10)	NO	NULL	MUL	
tb_chat_item_price_history	admin_memo	관리자 메모	mediumtext	YES	NULL		
tb_chat_item_price_history	regist_id	등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system	varchar(25)	YES	NULL		
tb_chat_item_price_history	regist_type	등록자 타입 : caller,callee,admin,system,060	varchar(20)	YES	NULL		
tb_chat_item_price_history	regist_date	등록일	datetime	YES	NULL		
tb_chat_item_price_history	last_update_date	최근수정일	datetime	YES	NULL		
tb_chat_item_price_log	itp_id		int unsigned	NO	NULL	PRI	auto_increment
tb_chat_item_price_log	ch_code	채팅아이템 코드	varchar(25)	NO	NULL		
tb_chat_item_price_log	ce_code	상담사 코드	varchar(25)	YES	NULL		
tb_chat_item_price_log	st_code	사이트 코드	varchar(25)	YES	NULL		
tb_chat_item_price_log	itp_code	아이템 가격 코드 : func_get_item_price 로 추출	varchar(25)	YES	NULL		
tb_chat_item_price_log	itp_old_coin_price	변경전 가격	int	YES	NULL		
tb_chat_item_price_log	itp_coin_price	아이템 선불 가격	int unsigned	YES	NULL		
tb_chat_item_price_log	itp_term	아이템 가격단위 : 가격의 기준이 되는 초를 입력한다 예 : 30 = 30초당	int unsigned	YES	NULL		
tb_chat_item_price_log	regist_id	등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system	varchar(512)	YES	NULL		
tb_chat_item_price_log	regist_type	등록자 타입 : caller,callee,admin,system	varchar(20)	YES	NULL		
tb_chat_item_price_log	regist_date	등록일	datetime	YES	NULL		
tb_chat_item_stat_all	i_no	공지사항 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_chat_item_stat_all	st_code	사이트 코드	varchar(25)	NO	NULL		
tb_chat_item_stat_all	ch_code	채팅아이템 코드	varchar(25)	NO	NULL		
tb_chat_item_stat_all	it_nick	아이템 닉네임	varchar(125)	YES	NULL		
tb_chat_item_stat_all	m1_cm_cnt	최근 1개월 후기 개수	int unsigned	NO	0		
tb_chat_item_stat_all	m1_cm_point	최근 1개월 후기 포인트	int unsigned	NO	0		
tb_chat_item_stat_all	log_month	로그 데이터	varchar(20)	NO	NULL		
tb_chat_item_stat_all	regist_date	등록일	datetime	YES	NULL		
tb_chat_item_stat_all	it_duration	1개월간 통화 시간(초)	int unsigned	YES	0		
tb_chat_items	ch_code	채팅 아이템 코드	varchar(25)	NO	NULL	PRI	
tb_chat_items	it_code	맵핑 아이템 코드	varchar(25)	NO	NULL	MUL	
tb_chat_items	ce_code	 상담사 코드 	varchar(25)	NO	NULL	MUL	
tb_chat_items	ac_id	 계정 아이디 	varchar(256)	YES	NULL		
tb_chat_items	ch_status	 아이템 상태 : 0=승인대기,1=승인보류,2=승인불가,3=승인완료,4=이용중지,5=본인삭제,6=강제삭제 	tinyint unsigned	NO	0	MUL	
tb_chat_items	ch_status_reason	 아이템 상태 사유 : 0=노출중,1=직거래/금품 요구,2=개인정보/만남 요구,3=불량서비스,4=음란서비스,5=허위/과장 정보,6=저작권 침해,7=법률/사회규범 위반,8=기타,9=정책위반/업무방해,10=경쟁사 관계자,11=장기 미접속 	tinyint unsigned	NO	0		
tb_chat_items	ch_cmt_cnt	 아이템 추천 후기 수 	int unsigned	NO	0		
tb_chat_items	ch_cmt_re_cnt	 아이템 추천 후기 답변 수 	int unsigned	NO	0		
tb_chat_items	ch_ask_cnt	 아이템 문의사항 수 	int unsigned	NO	0		
tb_chat_items	ch_ask_re_cnt	 아이템 문의사항 답변 수 	int unsigned	NO	0		
tb_chat_items	ch_like_cnt	 아이템 관심콜리 등록 수 	int unsigned	NO	0		
tb_chat_items	ch_cm_point	  	int unsigned	NO	0		
tb_chat_items	ch_call_cnt	  	int unsigned	NO	0		
tb_chat_items	ch_point_cnt	 포인트 부여 개수 	int	NO	0		
tb_chat_items	ch_sort_point	 아이템 소팅 점수  	int	NO	0		
tb_chat_items	ch_new	신규인지 여부	enum('Y','N')	YES	N		
tb_chat_items	ch_view_cnt	조회수	int	YES	0		
tb_chat_items	m1_cm_cnt	 최근 1개월 후기 개수 	int unsigned	NO	0		
tb_chat_items	m1_cm_point	 최근 1개월 후기 포인트 	int unsigned	NO	0		
tb_chat_items	m3_cm_cnt	 최근 3개월 후기 개수 	int unsigned	NO	0		
tb_chat_items	m3_cm_point	 최근3개월 후기 포인트 	int unsigned	NO	0		
tb_chat_items	w1_cm_cnt	 1주간 후기 수 	int unsigned	NO	0		
tb_chat_items	w1_cm_point	 1주간 별점 	int unsigned	NO	0		
tb_chat_items	win_point	지난주 별점 우승자 	tinyint unsigned	NO	0		
tb_chat_items	win_comment	지난주 후기 우승자 	tinyint unsigned	NO	0		
tb_chat_items	win_duration	지난주 상담시간 우승자 	tinyint unsigned	NO	0		
tb_chat_items	w1_cm_point5	1주간 별점 5개 받은수	int unsigned	NO	0		
tb_chat_items	m1_cm_point5	최근 1개월 후기 포인트 5개 받은 수	int unsigned	NO	0		
tb_chat_items	m3_cm_point5	최근 3개월 후기 포인트 5개 받은수	int unsigned	NO	0		
tb_chat_items	ch_cm_point5	누적 후기 포은트 5개 받은갯수	int unsigned	NO	0		
